Wall time,Step,Value
1540822574.315364,0,41.27492904663086
1540822574.725505,11,44.316688537597656
1540822574.950582,22,17.224023818969727
1540822575.173942,33,6.170860290527344
1540822575.396578,44,4.233730792999268
1540822575.618848,55,3.246976375579834
1540822575.841407,66,2.9358301162719727
1540822576.063127,77,2.4110445976257324
1540822576.304529,88,2.36141037940979
1540822576.526402,99,2.1310131549835205
1540822576.74707,110,2.204829216003418
1540822576.974606,121,2.2086050510406494
1540822577.198073,132,2.389492988586426
1540822577.418388,143,2.21290922164917
1540822577.639482,154,1.9339015483856201
1540822577.862065,165,1.9918441772460938
1540822578.084258,176,1.9620592594146729
1540822578.310095,187,1.991034984588623
1540822578.533063,198,2.2699928283691406
1540822578.754099,209,1.924556016921997
1540822578.975058,220,1.8864318132400513
1540822579.202888,231,1.8521653413772583
1540822579.424968,242,1.7351335287094116
1540822579.646419,253,1.774925708770752
1540822579.866878,264,1.9418408870697021
1540822580.089413,275,1.7495064735412598
1540822580.310563,286,1.6833446025848389
1540822580.546967,297,1.8171520233154297
1540822580.785365,308,1.768575668334961
1540822581.017162,319,1.7961245775222778
1540822581.24013,330,1.9325083494186401
1540822581.471603,341,1.5587836503982544
1540822581.693181,352,1.8521232604980469
1540822581.91403,363,1.7165147066116333
1540822582.136426,374,1.5141761302947998
1540822582.358399,385,1.5968730449676514
1540822582.580368,396,1.6845365762710571
1540822582.803547,407,1.6563602685928345
1540822583.026498,418,1.682831048965454
1540822583.24932,429,1.4479713439941406
1540822583.471401,440,1.7518219947814941
1540822583.698533,451,1.7108708620071411
1540822583.921376,462,1.7017886638641357
1540822584.144723,473,1.571865439414978
1540822584.365888,484,1.500655174255371
1540822584.58856,495,1.4729931354522705
1540822584.810185,506,1.6089080572128296
1540822585.033852,517,1.663516879081726
1540822585.25607,528,1.5404558181762695
1540822585.477195,539,1.3961787223815918
1540822585.698044,550,1.5715370178222656
1540822585.925994,561,1.6348731517791748
1540822586.146484,572,1.7778164148330688
1540822586.366563,583,1.4436718225479126
1540822586.588402,594,1.362008810043335
1540822586.809075,605,1.635801076889038
1540822587.028965,616,1.6577929258346558
1540822587.250417,627,1.3707749843597412
1540822587.489625,638,1.5800288915634155
1540822587.709659,649,1.6162091493606567
1540822587.92911,660,1.6427578926086426
1540822588.156875,671,1.3713610172271729
1540822588.375695,682,1.301749587059021
1540822588.597408,693,1.5505123138427734
1540822588.819249,704,1.485528588294983
1540822589.040478,715,1.3334404230117798
1540822589.261478,726,1.637345790863037
1540822589.482381,737,1.283768653869629
1540822589.703737,748,1.4685392379760742
1540822589.923753,759,1.5450091361999512
1540822590.143116,770,1.4544775485992432
1540822590.368024,781,1.3527319431304932
1540822590.587336,792,1.412636160850525
1540822590.80922,803,1.58921480178833
1540822591.028614,814,1.3878036737442017
1540822591.251473,825,1.4440128803253174
1540822591.471628,836,1.331275463104248
1540822591.69201,847,1.3511807918548584
1540822591.91116,858,1.430654525756836
1540822592.133263,869,1.2525761127471924
1540822592.354232,880,1.1854591369628906
1540822592.580337,891,1.3135278224945068
1540822592.802427,902,1.4208924770355225
1540822593.02352,913,1.3895400762557983
1540822593.244563,924,1.4383323192596436
1540822593.466434,935,1.3001768589019775
1540822593.686768,946,1.4088376760482788
1540822593.907575,957,1.3080062866210938
1540822594.142747,968,1.2259284257888794
1540822594.365403,979,1.3537904024124146
1540822594.586663,990,1.3207374811172485
1540822594.972372,1001,1.4310925006866455
1540822595.195704,1012,1.2623238563537598
1540822595.419263,1023,1.1841306686401367
1540822595.641386,1034,1.3214709758758545
1540822595.863599,1045,1.4354568719863892
1540822596.087077,1056,1.261413812637329
1540822596.308332,1067,1.3053392171859741
1540822596.530747,1078,1.4198331832885742
1540822596.753719,1089,1.2157013416290283
1540822596.974885,1100,1.2595363855361938
1540822597.203777,1111,1.3405505418777466
1540822597.425741,1122,1.2962490320205688
1540822597.648139,1133,1.3524377346038818
1540822597.871388,1144,1.2552590370178223
1540822598.093619,1155,1.172937035560608
1540822598.31628,1166,1.2224712371826172
1540822598.539203,1177,1.3034656047821045
1540822598.761223,1188,1.1370849609375
1540822598.984389,1199,1.4446076154708862
1540822599.379755,1210,1.2769964933395386
1540822599.608955,1221,1.2086445093154907
1540822599.832791,1232,1.3253183364868164
1540822600.054701,1243,1.3045756816864014
1540822600.277512,1254,1.1493737697601318
1540822600.49954,1265,1.2430273294448853
1540822600.722726,1276,1.2543156147003174
1540822600.943354,1287,1.234259009361267
1540822601.165695,1298,1.3381097316741943
1540822601.385782,1309,1.1707773208618164
1540822601.606895,1320,1.332794427871704
1540822601.835764,1331,1.1739357709884644
1540822602.058088,1342,1.4480977058410645
1540822602.4773,1353,1.25954270362854
1540822602.878434,1364,1.1143391132354736
1540822603.102333,1375,1.1809144020080566
1540822603.324897,1386,1.30057692527771
1540822603.546048,1397,1.203288197517395
1540822603.765857,1408,1.060426115989685
1540822603.988484,1419,1.3256338834762573
1540822604.209909,1430,1.3712185621261597
1540822604.436632,1441,1.2428919076919556
1540822604.658983,1452,1.3147474527359009
1540822604.881935,1463,1.1792802810668945
1540822605.102006,1474,1.3135467767715454
1540822605.323744,1485,1.2391549348831177
1540822605.544526,1496,1.001810073852539
1540822605.768083,1507,1.3147588968276978
1540822605.992815,1518,1.1597009897232056
1540822606.214827,1529,1.2052162885665894
1540822606.437304,1540,1.1136503219604492
1540822606.666141,1551,1.0655683279037476
1540822606.889028,1562,1.070238471031189
1540822607.110722,1573,1.096050500869751
1540822607.331602,1584,1.225435495376587
1540822607.558631,1595,1.2672218084335327
1540822607.787249,1606,1.183516502380371
1540822608.006685,1617,1.049877643585205
1540822608.225943,1628,1.0559591054916382
1540822608.445523,1639,1.1560537815093994
1540822608.664269,1650,1.110459327697754
1540822608.890809,1661,0.9239170551300049
1540822609.111612,1672,1.0414369106292725
1540822609.332163,1683,1.1024329662322998
1540822609.552102,1694,1.2121496200561523
1540822609.77339,1705,1.2051080465316772
1540822609.993454,1716,1.1678396463394165
1540822610.21419,1727,1.2376997470855713
1540822610.43386,1738,1.0611099004745483
1540822610.65402,1749,0.9996371269226074
1540822610.87581,1760,1.0023388862609863
1540822611.101507,1771,1.237013578414917
1540822611.320626,1782,1.091304898262024
