Wall time,Step,Value
1542641399.67991,0,4405.8330078125
1542641399.95223,11,1632.0687255859375
1542641400.046625,22,1002.8565673828125
1542641400.137763,33,838.5130004882812
1542641400.227626,44,665.2293701171875
1542641400.317132,55,589.9291381835938
1542641400.406564,66,628.768310546875
1542641400.496053,77,493.51470947265625
1542641400.585953,88,461.4250183105469
1542641400.674477,99,420.84478759765625
1542641400.763973,110,445.20068359375
1542641400.856538,121,344.0743408203125
1542641400.945731,132,370.018310546875
1542641401.035044,143,368.63037109375
1542641401.125303,154,353.5505676269531
1542641401.214862,165,328.1488037109375
1542641401.303871,176,376.82855224609375
1542641401.392946,187,342.98291015625
1542641401.483026,198,305.28302001953125
1542641401.572152,209,302.6009521484375
1542641401.661429,220,268.099853515625
1542641401.7539,231,292.1690673828125
1542641401.8428,242,233.04202270507812
1542641401.932302,253,269.22808837890625
1542641402.021552,264,247.3118133544922
1542641402.112241,275,237.325439453125
1542641402.202796,286,290.2056579589844
1542641402.292966,297,252.08583068847656
1542641402.381889,308,258.4407043457031
1542641402.472121,319,254.48056030273438
1542641402.561067,330,256.0710144042969
1542641402.652793,341,224.04098510742188
1542641402.742527,352,175.6967010498047
1542641402.831394,363,257.5927734375
1542641402.920963,374,222.12156677246094
1542641403.00983,385,217.45846557617188
1542641403.099681,396,201.04702758789062
1542641403.188443,407,226.3799285888672
1542641403.276915,418,236.1917724609375
1542641403.3652,429,191.43043518066406
1542641403.453193,440,179.927978515625
1542641403.545139,451,192.4604034423828
1542641403.634476,462,180.85626220703125
1542641403.723368,473,177.18441772460938
1542641403.8131,484,152.07083129882812
1542641403.902312,495,134.11224365234375
1542641403.990528,506,166.88546752929688
1542641404.079288,517,177.0792694091797
1542641404.167605,528,159.43023681640625
1542641404.255967,539,164.39382934570312
1542641404.345275,550,168.13571166992188
1542641404.436831,561,160.21177673339844
1542641404.526291,572,156.87338256835938
1542641404.615535,583,159.62286376953125
1542641404.704872,594,174.25051879882812
1542641404.794597,605,164.96751403808594
1542641404.883297,616,142.54180908203125
1542641404.972446,627,155.04116821289062
1542641405.06109,638,180.88079833984375
1542641405.149886,649,137.23130798339844
1542641405.238131,660,140.13589477539062
1542641405.329885,671,124.76143646240234
1542641405.418615,682,139.11074829101562
1542641405.507289,693,99.95645904541016
1542641405.596378,704,116.40438842773438
1542641405.685871,715,147.32717895507812
1542641405.77578,726,126.29637145996094
1542641405.865216,737,119.7989730834961
1542641405.953313,748,118.43141174316406
1542641406.041459,759,125.3693618774414
1542641406.1297,770,108.41635131835938
1542641406.222173,781,128.86590576171875
1542641406.310927,792,92.71656036376953
1542641406.399568,803,121.10628509521484
1542641406.488303,814,100.57897186279297
1542641406.575882,825,109.01165008544922
1542641406.66417,836,117.7585220336914
1542641406.752432,847,116.00582122802734
1542641406.840653,858,116.61018371582031
1542641406.928821,869,126.83374786376953
1542641407.016933,880,111.37358856201172
1542641407.107884,891,101.92168426513672
1542641407.195238,902,90.09696960449219
1542641407.283755,913,98.56155395507812
1542641407.373606,924,110.48535919189453
1542641407.46217,935,73.43286895751953
1542641407.551066,946,93.53125762939453
1542641407.639782,957,83.26293182373047
1542641407.72856,968,107.97731018066406
1542641407.817866,979,90.51847839355469
1542641407.906568,990,86.78988647460938
1542641408.105591,1001,80.48844909667969
1542641408.193969,1012,90.52772521972656
1542641408.28325,1023,88.48929595947266
1542641408.371644,1034,71.93647766113281
1542641408.461106,1045,84.03099060058594
1542641408.550078,1056,75.31027221679688
1542641408.638556,1067,86.5278549194336
1542641408.727338,1078,90.80628967285156
1542641408.816258,1089,77.36878967285156
1542641408.904909,1100,83.41059875488281
1542641409.003374,1111,78.37744140625
1542641409.092173,1122,80.55888366699219
1542641409.181779,1133,77.06427001953125
1542641409.270556,1144,88.0683822631836
1542641409.360993,1155,88.42303466796875
1542641409.449272,1166,67.49960327148438
1542641409.537754,1177,77.50975036621094
1542641409.625843,1188,80.59919738769531
1542641409.714096,1199,79.57475280761719
1542641409.803275,1210,71.61821746826172
1542641409.894798,1221,67.06687927246094
1542641409.982654,1232,72.40086364746094
1542641410.070799,1243,73.72538757324219
1542641410.158681,1254,67.6447525024414
1542641410.247065,1265,64.32719421386719
1542641410.33478,1276,62.719520568847656
1542641410.422929,1287,72.95062255859375
1542641410.511182,1298,76.59916687011719
1542641410.599216,1309,59.025115966796875
1542641410.68792,1320,76.6886215209961
1542641410.778747,1331,66.73554992675781
1542641410.865828,1342,72.59761810302734
1542641410.954482,1353,69.4698486328125
1542641411.042014,1364,67.35015869140625
1542641411.129499,1375,64.54397583007812
1542641411.216776,1386,70.36463928222656
1542641411.304137,1397,62.59376525878906
1542641411.391525,1408,73.17920684814453
1542641411.479651,1419,71.60687255859375
1542641411.566943,1430,67.25636291503906
